prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,9.19467
0,0,1,32,11.1567
0,0,1,64,13.4507
0,0,1,128,19.168
0,0,1,256,19.264
0,0,1,512,19.2953
0,0,1,1024,19.893
0,0,1,2048,20.928
0,0,1,4096,23.2747
0,0,1,8192,33.2163
0,0,1,16384,50.6127
0,0,2,16,9.71733
0,0,2,32,11.6693
0,0,2,64,13.973
0,0,2,128,20.149
0,0,2,256,20.1173
0,0,2,512,20.2773
0,0,2,1024,21.8237
0,0,2,2048,23.5087
0,0,2,4096,31.7973
0,0,2,8192,48.128
0,0,2,16384,76.757
0,0,4,16,9.67433
0,0,4,32,11.68
0,0,4,64,14.1123
0,0,4,128,20.1387
0,0,4,256,20.3943
0,0,4,512,21.312
0,0,4,1024,23.146
0,0,4,2048,31.4237
0,0,4,4096,47.9563
0,0,4,8192,76.8523
0,0,4,16384,133.343
0,0,8,16,9.77033
0,0,8,32,11.808
0,0,8,64,14.1973
0,0,8,128,20.576
0,0,8,256,21.259
0,0,8,512,26.2397
0,0,8,1024,31.1997
0,0,8,2048,47.6583
0,0,8,4096,75.7753
0,0,8,8192,133.172
0,0,8,16384,244.766
0,0,16,16,10.0153
0,0,16,32,12.256
0,0,16,64,14.8267
0,0,16,128,21.8237
0,0,16,256,27.0933
0,0,16,512,33.2693
0,0,16,1024,49.2163
0,0,16,2048,78.9753
0,0,16,4096,138.132
0,0,16,8192,251.059
0,0,16,16384,484.327
0,0,32,16,10.6557
0,0,32,32,13.4713
0,0,32,64,16.395
0,0,32,128,28.0847
0,0,32,256,34.5703
0,0,32,512,50.005
0,0,32,1024,79.754
0,0,32,2048,138.015
0,0,32,4096,253.385
0,0,32,8192,486.195
0,0,32,16384,940.91
0,0,64,16,13.1307
0,0,64,32,17.7383
0,0,64,64,21.973
0,0,64,128,31.68
0,0,64,256,47.7643
0,0,64,512,78.09
0,0,64,1024,136.116
0,0,64,2048,253.982
0,0,64,4096,484.22
0,0,64,8192,938.809
0,0,64,16384,1860.96
0,0,128,16,20.256
0,0,128,32,29.8987
0,0,128,64,39.8717
0,0,128,128,56.5863
0,0,128,256,87.572
0,0,128,512,146.655
0,0,128,1024,262.825
0,0,128,2048,496.7
0,0,128,4096,955.459
0,0,128,8192,1893.18
0,0,128,16384,3735.57
0,0,256,16,33.1193
0,0,256,32,48.7463
0,0,256,64,66.7947
0,0,256,128,98.143
0,0,256,256,157.342
0,0,256,512,275.144
0,0,256,1024,510.097
0,0,256,2048,983.16
0,0,256,4096,1912.65
0,0,256,8192,3814
0,0,256,16384,7541.84
16,0,0,0,10.2187
16,0,1,16,16.3837
16,0,1,32,18.3357
16,0,1,64,20.629
16,0,1,128,26.5167
16,0,1,256,26.7737
16,0,1,512,26.6777
16,0,1,1024,27.2953
16,0,1,2048,28.3413
16,0,1,4096,30.56
16,0,1,8192,40.757
16,0,1,16384,56.9173
16,0,2,16,16.192
16,0,2,32,18.1657
16,0,2,64,20.3413
16,0,2,128,26.8907
16,0,2,256,26.656
16,0,2,512,27.0613
16,0,2,1024,28.1917
16,0,2,2048,30.3467
16,0,2,4096,38.9873
16,0,2,8192,55.231
16,0,2,16384,83.9357
16,0,4,16,16.1387
16,0,4,32,18.1653
16,0,4,64,20.6083
16,0,4,128,26.6443
16,0,4,256,27.157
16,0,4,512,27.9357
16,0,4,1024,29.9523
16,0,4,2048,38.2833
16,0,4,4096,55.1143
16,0,4,8192,85.29
16,0,4,16384,140.522
16,0,8,16,16.2983
16,0,8,32,18.3247
16,0,8,64,20.7567
16,0,8,128,27.264
16,0,8,256,28.416
16,0,8,512,33.0777
16,0,8,1024,38.7197
16,0,8,2048,54.5607
16,0,8,4096,83.5933
16,0,8,8192,140.713
16,0,8,16384,254.195
16,0,16,16,16.586
16,0,16,32,18.848
16,0,16,64,21.344
16,0,16,128,28.8
16,0,16,256,33.7063
16,0,16,512,40.5327
16,0,16,1024,56.6823
16,0,16,2048,86.644
16,0,16,4096,144.479
16,0,16,8192,261.139
16,0,16,16384,491.761
16,0,32,16,17.163
16,0,32,32,19.9787
16,0,32,64,22.8583
16,0,32,128,34.7727
16,0,32,256,42.0583
16,0,32,512,58.7303
16,0,32,1024,87.5513
16,0,32,2048,148.351
16,0,32,4096,261.982
16,0,32,8192,490.726
16,0,32,16384,950.723
16,0,64,16,19.8187
16,0,64,32,24.4803
16,0,64,64,29.0773
16,0,64,128,39.668
16,0,64,256,55.8393
16,0,64,512,84.7787
16,0,64,1024,144.852
16,0,64,2048,260.211
16,0,64,4096,491.581
16,0,64,8192,946.713
16,0,64,16384,1857.99
16,0,128,16,26.8803
16,0,128,32,35.3063
16,0,128,64,44.4693
16,0,128,128,60.703
16,0,128,256,90.4207
16,0,128,512,151.241
16,0,128,1024,265.075
16,0,128,2048,501.16
16,0,128,4096,962.03
16,0,128,8192,1893.12
16,0,128,16384,3741.33
16,16,0,0,10.4
16,16,1,16,16.555
16,16,1,32,18.5707
16,16,1,64,20.832
16,16,1,128,26.8577
16,16,1,256,26.9437
16,16,1,512,27.061
16,16,1,1024,27.3917
16,16,1,2048,28.8533
16,16,1,4096,30.9227
16,16,1,8192,41.056
16,16,1,16384,57.7057
16,16,2,16,16.384
16,16,2,32,18.2827
16,16,2,64,20.6493
16,16,2,128,26.7727
16,16,2,256,27.317
16,16,2,512,26.9333
16,16,2,1024,28.576
16,16,2,2048,30.165
16,16,2,4096,39.605
16,16,2,8192,55.2747
16,16,2,16384,85.1933
16,16,4,16,16.4267
16,16,4,32,18.3787
16,16,4,64,20.7893
16,16,4,128,27.2107
16,16,4,256,27.071
16,16,4,512,28.288
16,16,4,1024,29.9307
16,16,4,2048,38.7937
16,16,4,4096,54.8153
16,16,4,8192,84.4687
16,16,4,16384,143.348
16,16,8,16,16.5547
16,16,8,32,18.5927
16,16,8,64,21.013
16,16,8,128,27.4557
16,16,8,256,28.5967
16,16,8,512,33.0983
16,16,8,1024,38.72
16,16,8,2048,54.7197
16,16,8,4096,83.552
16,16,8,8192,140.308
16,16,8,16384,250.537
16,16,16,16,16.8103
16,16,16,32,19.135
16,16,16,64,21.6747
16,16,16,128,29.013
16,16,16,256,33.9517
16,16,16,512,40.8313
16,16,16,1024,56.4047
16,16,16,2048,87.434
16,16,16,4096,145.972
16,16,16,8192,262.259
16,16,16,16384,490.812
16,16,32,16,17.5137
16,16,32,32,20.2883
16,16,32,64,22.932
16,16,32,128,35.1037
16,16,32,256,42.5913
16,16,32,512,58.656
16,16,32,1024,88.7563
16,16,32,2048,148.34
16,16,32,4096,261.512
16,16,32,8192,496.732
16,16,32,16384,953.806
16,16,64,16,20.1493
16,16,64,32,24.843
16,16,64,64,29.387
16,16,64,128,39.3593
16,16,64,256,55.2527
16,16,64,512,85.4283
16,16,64,1024,143.689
16,16,64,2048,262.995
16,16,64,4096,494.95
16,16,64,8192,951.363
16,16,64,16384,1867.31
16,16,128,16,26.9763
16,16,128,32,35.5827
16,16,128,64,44.5973
16,16,128,128,60.747
16,16,128,256,90.8897
16,16,128,512,149.418
16,16,128,1024,265.544
16,16,128,2048,500.54
16,16,128,4096,970.925
16,16,128,8192,1889.23
16,16,128,16384,3742.2
16,32,0,0,12.2343
16,32,1,16,18.559
16,32,1,32,20.3837
16,32,1,64,22.677
16,32,1,128,28.6933
16,32,1,256,28.853
16,32,1,512,28.8637
16,32,1,1024,29.2907
16,32,1,2048,30.4963
16,32,1,4096,32.7357
16,32,1,8192,42.314
16,32,1,16384,58.453
16,32,2,16,18.2607
16,32,2,32,20.203
16,32,2,64,22.4857
16,32,2,128,28.725
16,32,2,256,29.1727
16,32,2,512,28.8953
16,32,2,1024,30.5597
16,32,2,2048,32.0947
16,32,2,4096,40.9923
16,32,2,8192,57.5357
16,32,2,16384,85.6733
16,32,4,16,18.4
16,32,4,32,20.2563
16,32,4,64,22.677
16,32,4,128,29.1413
16,32,4,256,28.981
16,32,4,512,30.2293
16,32,4,1024,32.0103
16,32,4,2048,40.4797
16,32,4,4096,57.1303
16,32,4,8192,85.5887
16,32,4,16384,142.953
16,32,8,16,18.4427
16,32,8,32,20.4477
16,32,8,64,22.8153
16,32,8,128,29.3223
16,32,8,256,30.368
16,32,8,512,34.997
16,32,8,1024,40.7033
