prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,1.8444233552238807
0,0,1,32,2.2380007164179103
0,0,1,64,2.698170268656716
0,0,1,128,3.845043582089552
0,0,1,256,3.864300895522388
0,0,1,512,3.8705795820895523
0,0,1,1024,3.9904764179104477
0,0,1,2048,4.198094328358209
0,0,1,4096,4.668835343283582
0,0,1,8192,6.663090626865671
0,0,1,16384,10.152756537313431
0,0,2,16,1.9492673910447762
0,0,2,32,2.3408267462686565
0,0,2,64,2.802942089552239
0,0,2,128,4.041829253731343
0,0,2,256,4.035470328358209
0,0,2,512,4.067565850746268
0,0,2,1024,4.377769074626865
0,0,2,2048,4.7157750447761195
0,0,2,4096,6.378443462686567
0,0,2,8192,9.654333134328358
0,0,2,16384,15.397225074626867
0,0,4,16,1.940641719402985
0,0,4,32,2.342973134328358
0,0,4,64,2.830885253731343
0,0,4,128,4.039763104477612
0,0,4,256,4.091035701492538
0,0,4,512,4.275123582089552
0,0,4,1024,4.643018507462687
0,0,4,2048,6.303500417910447
0,0,4,4096,9.61989062686567
0,0,4,8192,15.416341970149253
0,0,4,16384,26.748207761194028
0,0,8,16,1.9598990328358208
0,0,8,32,2.368649552238806
0,0,8,64,2.847936
0,0,8,128,4.127484179104478
0,0,8,256,4.264491940298507
0,0,8,512,5.263605492537313
0,0,8,1024,6.258566686567164
0,0,8,2048,9.56011271641791
0,0,8,4096,15.200298985074626
0,0,8,8192,26.71390567164179
0,0,8,16384,49.099328955223875
0,0,16,16,2.0090392835820894
0,0,16,32,2.458517014925373
0,0,16,64,2.97419176119403
0,0,16,128,4.377769074626865
0,0,16,256,5.434835104477612
0,0,16,512,6.673722268656716
0,0,16,1024,9.87264286567164
0,0,16,2048,15.842209432835821
0,0,16,4096,27.70886686567164
0,0,16,8192,50.36168597014925
0,0,16,16384,97.1545504477612
0,0,32,16,2.1375016119402983
0,0,32,32,2.7023025671641787
0,0,32,64,3.2887880597014925
0,0,32,128,5.633706985074627
0,0,32,256,6.934698985074627
0,0,32,512,10.030853731343283
0,0,32,1024,15.99841432835821
0,0,32,2048,27.68539701492537
0,0,32,4096,50.82827462686567
0,0,32,8192,97.52926567164178
0,0,32,16384,188.74373731343283
0,0,64,16,2.633979223880597
0,0,64,32,3.558250029850746
0,0,64,64,4.407718208955224
0,0,64,128,6.35491343283582
0,0,64,256,9.581375999999999
0,0,64,512,15.664620895522388
0,0,64,1024,27.30446328358209
0,0,64,2048,50.948031044776116
0,0,64,4096,97.13308656716418
0,0,64,8192,188.32228298507462
0,0,64,16384,373.30302089552237
0,0,128,16,4.063293134328358
0,0,128,32,5.997589970149254
0,0,128,64,7.998143999999999
0,0,128,128,11.351042865671642
0,0,128,256,17.566681791044775
0,0,128,512,29.418555223880595
0,0,128,1024,52.72191044776119
0,0,128,2048,99.63653731343283
0,0,128,4096,191.66222328358208
0,0,128,8192,379.7662567164179
0,0,128,16384,749.3441910447762
0,0,256,16,6.643632716417911
0,0,256,32,9.778362268656716
0,0,256,64,13.398817432835822
0,0,256,128,19.687192835820895
0,0,256,256,31.56233552238806
0,0,256,512,55.193065074626865
0,0,256,1024,102.32393552238806
0,0,256,2048,197.21896119402984
0,0,256,4096,383.67188059701493
0,0,256,8192,765.0770149253731
0,0,256,16384,1512.8705910447761
16,0,0,0,2.0498407164179104
16,0,1,16,3.286521313432836
16,0,1,32,3.678086686567164
16,0,1,64,4.138115820895522
