time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,n_embd,n_q_head,n_kv_head,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.03932999999999999,0.043998999999999996,0.04192033333333334,0.04243200000000001,0.0019401447254149809,,,,,,4096,32,8,4,131072,1,32,32,True,FLASH_ATTENTION
0.04579,0.046114,0.04593066666666667,0.045888000000000005,0.00013566953313925198,,,,,,4096,32,8,4,131072,1,32,64,True,FLASH_ATTENTION
0.047393,0.049281000000000005,0.04833099999999999,0.048318999999999994,0.0007708194773529478,,,,,,4096,32,8,4,131072,1,32,96,True,FLASH_ATTENTION
0.046464,0.048,0.047135666666666666,0.046943,0.0006416979213167389,,,,,,4096,32,8,4,131072,1,32,128,True,FLASH_ATTENTION
0.045727,0.047327999999999995,0.046431999999999994,0.046241,0.000667413415108406,,,,,,4096,32,8,4,131072,1,32,160,True,FLASH_ATTENTION
0.039268000000000004,0.046368000000000006,0.04261500000000001,0.042209,0.0029127452114228376,,,,,,4096,32,8,4,131072,1,32,192,True,FLASH_ATTENTION
0.04713400000000001,0.047678,0.04734733333333333,0.04723000000000001,0.00023707851488951898,,,,,,4096,32,8,4,131072,1,32,224,True,FLASH_ATTENTION
0.04969199999999999,0.050783999999999996,0.05012266666666667,0.049892,0.00047470786338079117,,,,,,4096,32,8,4,131072,1,32,256,True,FLASH_ATTENTION
0.05244800000000001,0.053535000000000006,0.052842,0.05254299999999999,0.000491557388985934,,,,,,4096,32,8,4,131072,1,32,288,True,FLASH_ATTENTION
0.053726,0.055266,0.05429300000000001,0.05388700000000001,0.0006911473552482598,,,,,,4096,32,8,4,131072,1,32,320,True,FLASH_ATTENTION
0.054976,0.055937000000000014,0.055554,0.05574899999999999,0.0004158517363997301,,,,,,4096,32,8,4,131072,1,32,352,True,FLASH_ATTENTION
0.05530000000000001,0.05721699999999998,0.05595833333333333,0.055358,0.0008903266566578462,,,,,,4096,32,8,4,131072,1,32,384,True,FLASH_ATTENTION
0.055906,0.05616,0.05604366666666666,0.05606499999999999,0.00010478655554135961,,,,,,4096,32,8,4,131072,1,32,416,True,FLASH_ATTENTION
0.05533,0.05664,0.05577766666666667,0.055363,0.000609910558105769,,,,,,4096,32,8,4,131072,1,32,448,True,FLASH_ATTENTION
0.049982,0.051072,0.050634000000000005,0.050848000000000004,0.0004700156025779013,,,,,,4096,32,8,4,131072,1,32,480,True,FLASH_ATTENTION
0.048258,0.049695,0.048843000000000004,0.048575999999999994,0.0006162840254298352,,,,,,4096,32,8,4,131072,1,32,512,True,FLASH_ATTENTION
0.050079000000000005,0.056288000000000005,0.05415433333333334,0.05609600000000001,0.0028827616774351793,,,,,,4096,32,8,4,131072,1,32,544,True,FLASH_ATTENTION
0.05718199999999999,0.05923300000000001,0.057919,0.05734199999999999,0.0009314315147484984,,,,,,4096,32,8,4,131072,1,32,576,True,FLASH_ATTENTION
0.06303899999999998,0.06384000000000001,0.06333866666666667,0.063137,0.0003567467199880445,,,,,,4096,32,8,4,131072,1,32,608,True,FLASH_ATTENTION
0.063618,0.06566399999999999,0.064619,0.06457500000000001,0.0008358552506265628,,,,,,4096,32,8,4,131072,1,32,640,True,FLASH_ATTENTION
0.05257499999999999,0.061539,0.05789966666666666,0.05958499999999999,0.0038486868178928585,,,,,,4096,32,8,4,131072,1,32,672,True,FLASH_ATTENTION
0.054305000000000006,0.06230399999999999,0.05932766666666667,0.061374,0.0035717978977291226,,,,,,4096,32,8,4,131072,1,32,704,True,FLASH_ATTENTION
0.06223999999999999,0.062272,0.062250666666666656,0.06223999999999999,1.5084944665318287e-05,,,,,,4096,32,8,4,131072,1,32,736,True,FLASH_ATTENTION
0.063552,0.06422399999999999,0.06386133333333333,0.06380799999999999,0.00027692277302926997,,,,,,4096,32,8,4,131072,1,32,768,True,FLASH_ATTENTION
0.067966,0.068929,0.06834033333333332,0.06812599999999999,0.00042134414543089593,,,,,,4096,32,8,4,131072,1,32,800,True,FLASH_ATTENTION
0.067968,0.06908700000000001,0.06841566666666667,0.068192,0.0004834324036397359,,,,,,4096,32,8,4,131072,1,32,832,True,FLASH_ATTENTION
0.07023999999999998,0.070498,0.07037899999999998,0.07039899999999999,0.00010627323275407517,,,,,,4096,32,8,4,131072,1,32,864,True,FLASH_ATTENTION
0.07068600000000001,0.071201,0.07094400000000001,0.07094500000000001,0.00021024905865821267,,,,,,4096,32,8,4,131072,1,32,896,True,FLASH_ATTENTION
0.06684699999999999,0.06959900000000001,0.067936,0.06736199999999999,0.0011945663090287982,,,,,,4096,32,8,4,131072,1,32,928,True,FLASH_ATTENTION
0.07097599999999998,0.07228600000000002,0.07158300000000001,0.07148700000000002,0.0005390961571618553,,,,,,4096,32,8,4,131072,1,32,960,True,FLASH_ATTENTION
0.060481,0.070787,0.06635833333333334,0.06780700000000002,0.004330310638074623,,,,,,4096,32,8,4,131072,1,32,992,True,FLASH_ATTENTION
0.067134,0.06732600000000001,0.06720933333333333,0.06716799999999999,8.36553777244675e-05,,,,,,4096,32,8,4,131072,1,32,1024,True,FLASH_ATTENTION
0.06697399999999999,0.06803200000000001,0.06760499999999998,0.067809,0.00045537749907815155,,,,,,4096,32,8,4,131072,1,32,1056,True,FLASH_ATTENTION
0.061246,0.06179300000000001,0.06152466666666667,0.061535000000000006,0.00022343132178715818,,,,,,4096,32,8,4,131072,1,32,1088,True,FLASH_ATTENTION
0.063423,0.069693,0.06586466666666667,0.06447800000000001,0.002741089604923969,,,,,,4096,32,8,4,131072,1,32,1120,True,FLASH_ATTENTION
0.07600200000000001,0.077568,0.07670400000000001,0.076542,0.000649498267896068,,,,,,4096,32,8,4,131072,1,32,1152,True,FLASH_ATTENTION
0.080577,0.081569,0.08111,0.08118399999999998,0.0004083487071935797,,,,,,4096,32,8,4,131072,1,32,1184,True,FLASH_ATTENTION
0.07750400000000002,0.08051300000000002,0.07936000000000001,0.08006300000000001,0.0013251860246772883,,,,,,4096,32,8,4,131072,1,32,1216,True,FLASH_ATTENTION
0.073535,0.078208,0.07560499999999999,0.075072,0.0019446163289108373,,,,,,4096,32,8,4,131072,1,32,1248,True,FLASH_ATTENTION
0.07696199999999999,0.080993,0.07834666666666666,0.07708500000000001,0.0018719138750368685,,,,,,4096,32,8,4,131072,1,32,1280,True,FLASH_ATTENTION
0.07859199999999998,0.08252799999999999,0.07994666666666667,0.07872,0.0018260261650796673,,,,,,4096,32,8,4,131072,1,32,1312,True,FLASH_ATTENTION
0.08195299999999998,0.082784,0.08224033333333333,0.081984,0.0003846386471597601,,,,,,4096,32,8,4,131072,1,32,1344,True,FLASH_ATTENTION
0.08521200000000001,0.08835299999999999,0.08677133333333333,0.08674899999999999,0.0012824051188641073,,,,,,4096,32,8,4,131072,1,32,1376,True,FLASH_ATTENTION
0.086623,0.08902400000000002,0.08749866666666667,0.086849,0.001082512612192382,,,,,,4096,32,8,4,131072,1,32,1408,True,FLASH_ATTENTION
0.08812900000000001,0.09136300000000001,0.08978233333333335,0.089855,0.0013212744689209061,,,,,,4096,32,8,4,131072,1,32,1440,True,FLASH_ATTENTION
0.090624,0.090943,0.09076333333333332,0.090723,0.00013331749905978393,,,,,,4096,32,8,4,131072,1,32,1472,True,FLASH_ATTENTION
0.085536,0.087616,0.08691199999999999,0.08758399999999998,0.0009730666301269699,,,,,,4096,32,8,4,131072,1,32,1504,True,FLASH_ATTENTION
0.08867399999999999,0.090849,0.08949433333333333,0.08895999999999998,0.0009649837074042063,,,,,,4096,32,8,4,131072,1,32,1536,True,FLASH_ATTENTION
0.08768,0.08992200000000003,0.08857633333333333,0.08812699999999998,0.0009688709351038064,,,,,,4096,32,8,4,131072,1,32,1568,True,FLASH_ATTENTION
0.08688499999999999,0.08848099999999999,0.08745833333333332,0.08700900000000002,0.0007249042848695367,,,,,,4096,32,8,4,131072,1,32,1600,True,FLASH_ATTENTION
0.086846,0.089629,0.08858566666666667,0.08928200000000001,0.0012382601593454508,,,,,,4096,32,8,4,131072,1,32,1632,True,FLASH_ATTENTION
0.089566,0.09283200000000001,0.09118833333333333,0.091167,0.0013334242469005234,,,,,,4096,32,8,4,131072,1,32,1664,True,FLASH_ATTENTION
0.094947,0.09622600000000002,0.09553266666666667,0.09542500000000001,0.0005276705622092532,,,,,,4096,32,8,4,131072,1,32,1696,True,FLASH_ATTENTION
0.098303,0.09949100000000001,0.09879600000000001,0.09859400000000001,0.0005055946993393049,,,,,,4096,32,8,4,131072,1,32,1728,True,FLASH_ATTENTION
0.09871900000000002,0.09900800000000003,0.09887933333333336,0.09891100000000001,0.00012008978122869778,,,,,,4096,32,8,4,131072,1,32,1760,True,FLASH_ATTENTION
0.093151,0.095873,0.094656,0.094944,0.001129757791151125,,,,,,4096,32,8,4,131072,1,32,1792,True,FLASH_ATTENTION
0.09113699999999998,0.09737999999999998,0.09462633333333333,0.095362,0.0026012389782990395,,,,,,4096,32,8,4,131072,1,32,1824,True,FLASH_ATTENTION
0.09583899999999997,0.09926500000000002,0.09774933333333334,0.09814400000000002,0.0014262282036507897,,,,,,4096,32,8,4,131072,1,32,1856,True,FLASH_ATTENTION
0.100416,0.104128,0.10236833333333334,0.10256100000000001,0.0015215291285049005,,,,,,4096,32,8,4,131072,1,32,1888,True,FLASH_ATTENTION
0.106973,0.10748899999999999,0.10726333333333334,0.10732800000000002,0.0002155617983059339,,,,,,4096,32,8,4,131072,1,32,1920,True,FLASH_ATTENTION
0.10675300000000001,0.108576,0.10741300000000002,0.10691,0.0008248591799008258,,,,,,4096,32,8,4,131072,1,32,1952,True,FLASH_ATTENTION
0.106848,0.10925000000000001,0.10824666666666667,0.10864200000000003,0.0010196788165343575,,,,,,4096,32,8,4,131072,1,32,1984,True,FLASH_ATTENTION
0.107202,0.11059200000000001,0.10861933333333335,0.10806400000000004,0.0014385922130873469,,,,,,4096,32,8,4,131072,1,32,2016,True,FLASH_ATTENTION
0.045538,0.046687000000000006,0.046038,0.045889000000000006,0.0004807639753558927,,,,,,4096,32,8,4,131072,1,64,64,True,FLASH_ATTENTION
0.04115200000000001,0.046723999999999995,0.04345733333333334,0.042496000000000006,0.002374154913975819,,,,,,4096,32,8,4,131072,1,64,128,True,FLASH_ATTENTION
0.03907000000000001,0.042272000000000004,0.04018233333333334,0.039205000000000004,0.0014786449502463012,,,,,,4096,32,8,4,131072,1,64,192,True,FLASH_ATTENTION
0.040003000000000004,0.042943,0.04103566666666667,0.040161,0.0013502299392654895,,,,,,4096,32,8,4,131072,1,64,256,True,FLASH_ATTENTION
0.039775,0.043424,0.041002666666666666,0.039809000000000004,0.001712197483417791,,,,,,4096,32,8,4,131072,1,64,320,True,FLASH_ATTENTION
