pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0391,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0384,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0297,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,0.0115,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.0313,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,0.011,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0409,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0569,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0411,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0335,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,-0.0489,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0431,2
0,n<=128,sr>70%,kvB<=16k,kp=0,-0.0672,4
0,n<=128,sr>70%,kvB<=1k,kp=0,-0.0411,4
0,n<=128,sr>70%,kvB<=4k,kp=0,-0.0824,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.1486,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.2168,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.1463,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.5394,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.5091,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.5222,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.3218,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.3285,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.3086,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.5106,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.6093,4
0,n<=16,sr>70%,kvB<=4k,kp=0,0.5108,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.0228,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.1374,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.0407,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,0.0056,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0113,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0028,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.0014,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,-0.0175,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0041,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0103,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0097,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0116,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,-0.0279,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,-0.042,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0292,2
0,n<=256,sr>70%,kvB<=16k,kp=0,-0.0227,4
0,n<=256,sr>70%,kvB<=1k,kp=0,-0.0289,4
0,n<=256,sr>70%,kvB<=4k,kp=0,-0.0293,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.2865,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.2941,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.2622,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.2538,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.2708,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.2432,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.2861,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.3048,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.2893,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,0.2717,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.2434,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,0.2729,2
0,n<=32,sr>70%,kvB<=16k,kp=0,0.8214,4
0,n<=32,sr>70%,kvB<=1k,kp=0,0.7279,4
0,n<=32,sr>70%,kvB<=4k,kp=0,0.8147,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,0.0013,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.042,4
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.0174,3
0,n<=4,sr<=70%,kvB<=16k,kp=0,-0.0264,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,-0.1084,2
0,n<=4,sr<=70%,kvB<=4k,kp=0,-0.0626,2
0,n<=4,sr>70%,kvB<=16k,kp=0,-0.0017,2
0,n<=4,sr>70%,kvB<=1k,kp=0,0.1006,2
0,n<=4,sr>70%,kvB<=4k,kp=0,-0.0612,2
0,n<=64,sr<=15%,kvB<=16k,kp=0,0.1062,4
0,n<=64,sr<=15%,kvB<=1k,kp=0,0.1295,4
0,n<=64,sr<=15%,kvB<=4k,kp=0,0.1034,4
0,n<=64,sr<=40%,kvB<=16k,kp=0,0.0789,2
0,n<=64,sr<=40%,kvB<=1k,kp=0,0.0801,2
0,n<=64,sr<=40%,kvB<=4k,kp=0,0.0679,2
0,n<=64,sr<=5%,kvB<=16k,kp=0,0.1296,6
0,n<=64,sr<=5%,kvB<=1k,kp=0,0.1367,6
0,n<=64,sr<=5%,kvB<=4k,kp=0,0.1264,6
0,n<=64,sr<=70%,kvB<=16k,kp=0,0.1208,2
0,n<=64,sr<=70%,kvB<=1k,kp=0,0.1359,2
0,n<=64,sr<=70%,kvB<=4k,kp=0,0.1306,2
0,n<=64,sr>70%,kvB<=16k,kp=0,0.0398,4
0,n<=64,sr>70%,kvB<=1k,kp=0,0.1012,4
0,n<=64,sr>70%,kvB<=4k,kp=0,0.0601,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.1434,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.1519,2
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.1375,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.0341,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.0906,4
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.0125,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,0.0565,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,0.1003,2
0,n<=8,sr<=70%,kvB<=4k,kp=0,0.0178,2
0,n<=8,sr>70%,kvB<=16k,kp=0,0.6093,4
0,n<=8,sr>70%,kvB<=1k,kp=0,0.6066,4
0,n<=8,sr>70%,kvB<=4k,kp=0,0.5513,4
16,n<=128,sr<=15%,kvB<=16k,kp<=1k,0.0384,4
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.0405,4
16,n<=128,sr<=15%,kvB<=16k,kp<=4k,0.0392,4
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.0375,4
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,0.0378,4
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.0365,4
16,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.041,4
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0371,4
16,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.0397,4
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0392,4
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.0411,4
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.0446,4
16,n<=128,sr<=15%,kvB<=4k,kp<=1k,0.0318,4
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.0335,4
16,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.0332,4
16,n<=128,sr<=15%,kvB<=4k,kp<=512,0.0302,4
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.0332,4
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.0325,4
16,n<=128,sr<=40%,kvB<=16k,kp<=1k,0.0111,2
16,n<=128,sr<=40%,kvB<=16k,kp<=2k,0.0157,2
16,n<=128,sr<=40%,kvB<=16k,kp<=4k,0.0175,2
16,n<=128,sr<=40%,kvB<=16k,kp<=512,0.0146,2
16,n<=128,sr<=40%,kvB<=16k,kp<=8k,0.017,2
16,n<=128,sr<=40%,kvB<=16k,kp=0,0.0131,2
16,n<=128,sr<=40%,kvB<=1k,kp<=1k,0.0044,2
16,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.0084,2
16,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.0077,2
16,n<=128,sr<=40%,kvB<=1k,kp<=512,0.0114,2
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.0067,2
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.0054,2
16,n<=128,sr<=40%,kvB<=4k,kp<=1k,0.0094,2
16,n<=128,sr<=40%,kvB<=4k,kp<=2k,0.0148,2
16,n<=128,sr<=40%,kvB<=4k,kp<=4k,0.0023,2
16,n<=128,sr<=40%,kvB<=4k,kp<=512,0.0118,2
16,n<=128,sr<=40%,kvB<=4k,kp<=8k,0.0041,2
16,n<=128,sr<=40%,kvB<=4k,kp=0,0.0113,2
16,n<=128,sr<=5%,kvB<=16k,kp<=1k,0.0406,8
16,n<=128,sr<=5%,kvB<=16k,kp<=2k,0.0389,8
16,n<=128,sr<=5%,kvB<=16k,kp<=4k,0.0397,8
16,n<=128,sr<=5%,kvB<=16k,kp<=512,0.0407,8
16,n<=128,sr<=5%,kvB<=16k,kp<=8k,0.0402,8
16,n<=128,sr<=5%,kvB<=16k,kp=0,0.0397,8
16,n<=128,sr<=5%,kvB<=1k,kp<=1k,0.0498,8
16,n<=128,sr<=5%,kvB<=1k,kp<=2k,0.0515,8
16,n<=128,sr<=5%,kvB<=1k,kp<=4k,0.0503,8
16,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0501,8
16,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.0507,8
16,n<=128,sr<=5%,kvB<=1k,kp=0,0.0497,8
16,n<=128,sr<=5%,kvB<=4k,kp<=1k,0.0419,8
16,n<=128,sr<=5%,kvB<=4k,kp<=2k,0.0429,8
16,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.0421,8
16,n<=128,sr<=5%,kvB<=4k,kp<=512,0.042,8
16,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.0415,8
16,n<=128,sr<=5%,kvB<=4k,kp=0,0.0415,8
16,n<=128,sr<=70%,kvB<=16k,kp<=1k,-0.0288,2
16,n<=128,sr<=70%,kvB<=16k,kp<=2k,-0.0349,2
16,n<=128,sr<=70%,kvB<=16k,kp<=4k,-0.0409,2
16,n<=128,sr<=70%,kvB<=16k,kp<=512,-0.0388,2
16,n<=128,sr<=70%,kvB<=16k,kp<=8k,-0.0343,2
16,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0288,2
16,n<=128,sr<=70%,kvB<=1k,kp<=1k,-0.0604,2
16,n<=128,sr<=70%,kvB<=1k,kp<=2k,-0.0487,2
16,n<=128,sr<=70%,kvB<=1k,kp<=4k,-0.0549,2
16,n<=128,sr<=70%,kvB<=1k,kp<=512,-0.0633,2
16,n<=128,sr<=70%,kvB<=1k,kp<=8k,-0.0502,2
16,n<=128,sr<=70%,kvB<=1k,kp=0,-0.0549,2
16,n<=128,sr<=70%,kvB<=4k,kp<=1k,-0.0322,2
16,n<=128,sr<=70%,kvB<=4k,kp<=2k,-0.0414,2
16,n<=128,sr<=70%,kvB<=4k,kp<=4k,-0.0259,2
16,n<=128,sr<=70%,kvB<=4k,kp<=512,-0.0263,2
16,n<=128,sr<=70%,kvB<=4k,kp<=8k,-0.0307,2
16,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0329,2
16,n<=128,sr>70%,kvB<=16k,kp<=1k,-0.0933,4
16,n<=128,sr>70%,kvB<=16k,kp<=2k,-0.0785,4
16,n<=128,sr>70%,kvB<=16k,kp<=4k,-0.0731,4
16,n<=128,sr>70%,kvB<=16k,kp<=512,-0.0732,4
16,n<=128,sr>70%,kvB<=16k,kp<=8k,-0.1004,4
16,n<=128,sr>70%,kvB<=16k,kp=0,-0.081,4
16,n<=128,sr>70%,kvB<=1k,kp<=1k,-0.1044,4
16,n<=128,sr>70%,kvB<=1k,kp<=2k,-0.1156,4
16,n<=128,sr>70%,kvB<=1k,kp<=4k,-0.1157,4
16,n<=128,sr>70%,kvB<=1k,kp<=512,-0.1084,4
16,n<=128,sr>70%,kvB<=1k,kp<=8k,-0.1441,4
16,n<=128,sr>70%,kvB<=1k,kp=0,-0.1209,4
16,n<=128,sr>70%,kvB<=4k,kp<=1k,-0.1025,4
16,n<=128,sr>70%,kvB<=4k,kp<=2k,-0.1382,4
