pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=128,sr>70%,kvB<=4k,kp<=4k,-0.0866,4
16,n<=128,sr>70%,kvB<=4k,kp<=512,-0.1034,4
16,n<=128,sr>70%,kvB<=4k,kp<=8k,-0.1156,4
16,n<=128,sr>70%,kvB<=4k,kp=0,-0.0717,4
16,n<=16,sr<=15%,kvB<=16k,kp<=1k,0.1495,4
16,n<=16,sr<=15%,kvB<=16k,kp<=2k,0.1471,4
16,n<=16,sr<=15%,kvB<=16k,kp<=4k,0.1484,4
16,n<=16,sr<=15%,kvB<=16k,kp<=512,0.1524,4
16,n<=16,sr<=15%,kvB<=16k,kp<=8k,0.1495,4
16,n<=16,sr<=15%,kvB<=16k,kp=0,0.1518,4
16,n<=16,sr<=15%,kvB<=1k,kp<=1k,0.2042,4
16,n<=16,sr<=15%,kvB<=1k,kp<=2k,0.1989,4
16,n<=16,sr<=15%,kvB<=1k,kp<=4k,0.2023,4
16,n<=16,sr<=15%,kvB<=1k,kp<=512,0.1996,4
16,n<=16,sr<=15%,kvB<=1k,kp<=8k,0.2167,4
16,n<=16,sr<=15%,kvB<=1k,kp=0,0.1972,4
16,n<=16,sr<=15%,kvB<=4k,kp<=1k,0.1514,4
16,n<=16,sr<=15%,kvB<=4k,kp<=2k,0.1587,4
16,n<=16,sr<=15%,kvB<=4k,kp<=4k,0.1534,4
16,n<=16,sr<=15%,kvB<=4k,kp<=512,0.1492,4
16,n<=16,sr<=15%,kvB<=4k,kp<=8k,0.1537,4
16,n<=16,sr<=15%,kvB<=4k,kp=0,0.1498,4
16,n<=16,sr<=40%,kvB<=16k,kp<=1k,0.54,4
16,n<=16,sr<=40%,kvB<=16k,kp<=2k,0.5408,4
16,n<=16,sr<=40%,kvB<=16k,kp<=4k,0.5412,4
16,n<=16,sr<=40%,kvB<=16k,kp<=512,0.5372,4
16,n<=16,sr<=40%,kvB<=16k,kp<=8k,0.5381,4
16,n<=16,sr<=40%,kvB<=16k,kp=0,0.5385,4
16,n<=16,sr<=40%,kvB<=1k,kp<=1k,0.5021,4
16,n<=16,sr<=40%,kvB<=1k,kp<=2k,0.5086,4
16,n<=16,sr<=40%,kvB<=1k,kp<=4k,0.4957,4
16,n<=16,sr<=40%,kvB<=1k,kp<=512,0.509,4
16,n<=16,sr<=40%,kvB<=1k,kp<=8k,0.4955,4
16,n<=16,sr<=40%,kvB<=1k,kp=0,0.5054,4
16,n<=16,sr<=40%,kvB<=4k,kp<=1k,0.5368,4
16,n<=16,sr<=40%,kvB<=4k,kp<=2k,0.5286,4
16,n<=16,sr<=40%,kvB<=4k,kp<=4k,0.521,4
16,n<=16,sr<=40%,kvB<=4k,kp<=512,0.522,4
16,n<=16,sr<=40%,kvB<=4k,kp<=8k,0.5242,4
16,n<=16,sr<=40%,kvB<=4k,kp=0,0.5224,4
16,n<=16,sr<=70%,kvB<=16k,kp<=1k,0.3287,2
16,n<=16,sr<=70%,kvB<=16k,kp<=2k,0.3262,2
16,n<=16,sr<=70%,kvB<=16k,kp<=4k,0.3234,2
16,n<=16,sr<=70%,kvB<=16k,kp<=512,0.3226,2
16,n<=16,sr<=70%,kvB<=16k,kp<=8k,0.321,2
16,n<=16,sr<=70%,kvB<=16k,kp=0,0.3259,2
16,n<=16,sr<=70%,kvB<=1k,kp<=1k,0.2965,2
16,n<=16,sr<=70%,kvB<=1k,kp<=2k,0.2747,2
16,n<=16,sr<=70%,kvB<=1k,kp<=4k,0.2516,2
16,n<=16,sr<=70%,kvB<=1k,kp<=512,0.2731,2
16,n<=16,sr<=70%,kvB<=1k,kp<=8k,0.2708,2
16,n<=16,sr<=70%,kvB<=1k,kp=0,0.267,2
16,n<=16,sr<=70%,kvB<=4k,kp<=1k,0.3077,2
16,n<=16,sr<=70%,kvB<=4k,kp<=2k,0.3062,2
16,n<=16,sr<=70%,kvB<=4k,kp<=4k,0.2995,2
16,n<=16,sr<=70%,kvB<=4k,kp<=512,0.3165,2
16,n<=16,sr<=70%,kvB<=4k,kp<=8k,0.3078,2
16,n<=16,sr<=70%,kvB<=4k,kp=0,0.3085,2
16,n<=16,sr>70%,kvB<=16k,kp<=1k,0.5269,4
16,n<=16,sr>70%,kvB<=16k,kp<=2k,0.5216,4
16,n<=16,sr>70%,kvB<=16k,kp<=4k,0.4934,4
16,n<=16,sr>70%,kvB<=16k,kp<=512,0.5147,4
16,n<=16,sr>70%,kvB<=16k,kp<=8k,0.4889,4
16,n<=16,sr>70%,kvB<=16k,kp=0,0.5257,4
16,n<=16,sr>70%,kvB<=1k,kp<=1k,0.5708,4
16,n<=16,sr>70%,kvB<=1k,kp<=2k,0.5959,4
16,n<=16,sr>70%,kvB<=1k,kp<=4k,0.5285,4
16,n<=16,sr>70%,kvB<=1k,kp<=512,0.5373,4
16,n<=16,sr>70%,kvB<=1k,kp<=8k,0.5172,4
16,n<=16,sr>70%,kvB<=1k,kp=0,0.56,4
16,n<=16,sr>70%,kvB<=4k,kp<=1k,0.5328,4
16,n<=16,sr>70%,kvB<=4k,kp<=2k,0.5313,4
16,n<=16,sr>70%,kvB<=4k,kp<=4k,0.536,4
16,n<=16,sr>70%,kvB<=4k,kp<=512,0.507,4
16,n<=16,sr>70%,kvB<=4k,kp<=8k,0.495,4
16,n<=16,sr>70%,kvB<=4k,kp=0,0.536,4
16,n<=2,sr<=70%,kvB<=16k,kp<=1k,0.022,2
16,n<=2,sr<=70%,kvB<=16k,kp<=2k,-0.0056,2
16,n<=2,sr<=70%,kvB<=16k,kp<=4k,0.0171,2
16,n<=2,sr<=70%,kvB<=16k,kp<=512,0.0139,2
16,n<=2,sr<=70%,kvB<=16k,kp<=8k,-0.0223,2
16,n<=2,sr<=70%,kvB<=16k,kp=0,-0.0112,2
16,n<=2,sr<=70%,kvB<=1k,kp<=1k,-0.0067,2
16,n<=2,sr<=70%,kvB<=1k,kp<=2k,-0.0348,2
16,n<=2,sr<=70%,kvB<=1k,kp<=4k,-0.0485,2
16,n<=2,sr<=70%,kvB<=1k,kp<=512,-0.0297,2
16,n<=2,sr<=70%,kvB<=1k,kp<=8k,0.0741,2
16,n<=2,sr<=70%,kvB<=1k,kp=0,-0.0195,2
16,n<=2,sr<=70%,kvB<=4k,kp<=1k,0.0288,2
16,n<=2,sr<=70%,kvB<=4k,kp<=2k,0.0851,2
16,n<=2,sr<=70%,kvB<=4k,kp<=4k,0.0291,2
16,n<=2,sr<=70%,kvB<=4k,kp<=512,0.0004,2
16,n<=2,sr<=70%,kvB<=4k,kp<=8k,0.0426,2
16,n<=2,sr<=70%,kvB<=4k,kp=0,0.0511,2
16,n<=32,sr<=15%,kvB<=16k,kp<=1k,0.2882,6
16,n<=32,sr<=15%,kvB<=16k,kp<=2k,0.2954,6
16,n<=32,sr<=15%,kvB<=16k,kp<=4k,0.2775,6
16,n<=32,sr<=15%,kvB<=16k,kp<=512,0.2914,6
16,n<=32,sr<=15%,kvB<=16k,kp<=8k,0.3108,6
16,n<=32,sr<=15%,kvB<=16k,kp=0,0.3063,6
16,n<=32,sr<=15%,kvB<=1k,kp<=1k,0.2924,6
16,n<=32,sr<=15%,kvB<=1k,kp<=2k,0.308,6
16,n<=32,sr<=15%,kvB<=1k,kp<=4k,0.3112,6
16,n<=32,sr<=15%,kvB<=1k,kp<=512,0.2975,6
16,n<=32,sr<=15%,kvB<=1k,kp<=8k,0.2962,6
16,n<=32,sr<=15%,kvB<=1k,kp=0,0.3087,6
16,n<=32,sr<=15%,kvB<=4k,kp<=1k,0.2864,6
16,n<=32,sr<=15%,kvB<=4k,kp<=2k,0.2653,6
16,n<=32,sr<=15%,kvB<=4k,kp<=4k,0.2631,6
16,n<=32,sr<=15%,kvB<=4k,kp<=512,0.271,6
16,n<=32,sr<=15%,kvB<=4k,kp<=8k,0.2875,6
16,n<=32,sr<=15%,kvB<=4k,kp=0,0.2914,6
16,n<=32,sr<=40%,kvB<=16k,kp<=1k,0.2546,2
16,n<=32,sr<=40%,kvB<=16k,kp<=2k,0.2442,2
16,n<=32,sr<=40%,kvB<=16k,kp<=4k,0.2473,2
16,n<=32,sr<=40%,kvB<=16k,kp<=512,0.2389,2
16,n<=32,sr<=40%,kvB<=16k,kp<=8k,0.2283,2
16,n<=32,sr<=40%,kvB<=16k,kp=0,0.2405,2
16,n<=32,sr<=40%,kvB<=1k,kp<=1k,0.2496,2
16,n<=32,sr<=40%,kvB<=1k,kp<=2k,0.2238,2
16,n<=32,sr<=40%,kvB<=1k,kp<=4k,0.2402,2
16,n<=32,sr<=40%,kvB<=1k,kp<=512,0.2311,2
16,n<=32,sr<=40%,kvB<=1k,kp<=8k,0.2534,2
16,n<=32,sr<=40%,kvB<=1k,kp=0,0.26,2
16,n<=32,sr<=40%,kvB<=4k,kp<=1k,0.2398,2
16,n<=32,sr<=40%,kvB<=4k,kp<=2k,0.2463,2
16,n<=32,sr<=40%,kvB<=4k,kp<=4k,0.2453,2
16,n<=32,sr<=40%,kvB<=4k,kp<=512,0.2377,2
16,n<=32,sr<=40%,kvB<=4k,kp<=8k,0.2237,2
16,n<=32,sr<=40%,kvB<=4k,kp=0,0.2448,2
16,n<=32,sr<=5%,kvB<=16k,kp<=1k,0.2875,2
16,n<=32,sr<=5%,kvB<=16k,kp<=2k,0.2955,2
16,n<=32,sr<=5%,kvB<=16k,kp<=4k,0.2863,2
16,n<=32,sr<=5%,kvB<=16k,kp<=512,0.2939,2
16,n<=32,sr<=5%,kvB<=16k,kp<=8k,0.2857,2
16,n<=32,sr<=5%,kvB<=16k,kp=0,0.3164,2
16,n<=32,sr<=5%,kvB<=1k,kp<=1k,0.3155,2
16,n<=32,sr<=5%,kvB<=1k,kp<=2k,0.2835,2
16,n<=32,sr<=5%,kvB<=1k,kp<=4k,0.2984,2
16,n<=32,sr<=5%,kvB<=1k,kp<=512,0.2777,2
16,n<=32,sr<=5%,kvB<=1k,kp<=8k,0.2957,2
16,n<=32,sr<=5%,kvB<=1k,kp=0,0.2865,2
16,n<=32,sr<=5%,kvB<=4k,kp<=1k,0.2821,2
16,n<=32,sr<=5%,kvB<=4k,kp<=2k,0.2868,2
16,n<=32,sr<=5%,kvB<=4k,kp<=4k,0.2868,2
16,n<=32,sr<=5%,kvB<=4k,kp<=512,0.2853,2
16,n<=32,sr<=5%,kvB<=4k,kp<=8k,0.2836,2
16,n<=32,sr<=5%,kvB<=4k,kp=0,0.3119,2
16,n<=32,sr<=70%,kvB<=16k,kp<=1k,0.308,2
16,n<=32,sr<=70%,kvB<=16k,kp<=2k,0.2844,2
16,n<=32,sr<=70%,kvB<=16k,kp<=4k,0.3023,2
16,n<=32,sr<=70%,kvB<=16k,kp<=512,0.2865,2
16,n<=32,sr<=70%,kvB<=16k,kp<=8k,0.2902,2
16,n<=32,sr<=70%,kvB<=16k,kp=0,0.2736,2
16,n<=32,sr<=70%,kvB<=1k,kp<=1k,0.2871,2
16,n<=32,sr<=70%,kvB<=1k,kp<=2k,0.2971,2
16,n<=32,sr<=70%,kvB<=1k,kp<=4k,0.2984,2
16,n<=32,sr<=70%,kvB<=1k,kp<=512,0.2924,2
16,n<=32,sr<=70%,kvB<=1k,kp<=8k,0.3048,2
16,n<=32,sr<=70%,kvB<=1k,kp=0,0.3094,2
16,n<=32,sr<=70%,kvB<=4k,kp<=1k,0.2922,2
16,n<=32,sr<=70%,kvB<=4k,kp<=2k,0.2702,2
16,n<=32,sr<=70%,kvB<=4k,kp<=4k,0.2758,2
16,n<=32,sr<=70%,kvB<=4k,kp<=512,0.2784,2
16,n<=32,sr<=70%,kvB<=4k,kp<=8k,0.2884,2
16,n<=32,sr<=70%,kvB<=4k,kp=0,0.2757,2
16,n<=32,sr>70%,kvB<=16k,kp<=1k,0.8089,4
16,n<=32,sr>70%,kvB<=16k,kp<=2k,0.858,4
16,n<=32,sr>70%,kvB<=16k,kp<=4k,0.8515,4
16,n<=32,sr>70%,kvB<=16k,kp<=512,0.8178,4
16,n<=32,sr>70%,kvB<=16k,kp<=8k,0.8519,4
16,n<=32,sr>70%,kvB<=16k,kp=0,0.837,4
16,n<=32,sr>70%,kvB<=1k,kp<=1k,0.8035,4
16,n<=32,sr>70%,kvB<=1k,kp<=2k,0.7833,4
16,n<=32,sr>70%,kvB<=1k,kp<=4k,0.7775,4
16,n<=32,sr>70%,kvB<=1k,kp<=512,0.733,4
16,n<=32,sr>70%,kvB<=1k,kp<=8k,0.709,4
16,n<=32,sr>70%,kvB<=1k,kp=0,0.7169,4
16,n<=32,sr>70%,kvB<=4k,kp<=1k,0.8388,4
16,n<=32,sr>70%,kvB<=4k,kp<=2k,0.7983,4
16,n<=32,sr>70%,kvB<=4k,kp<=4k,0.817,4
16,n<=32,sr>70%,kvB<=4k,kp<=512,0.7927,4
16,n<=32,sr>70%,kvB<=4k,kp<=8k,0.8177,4
16,n<=32,sr>70%,kvB<=4k,kp=0,0.8357,4
16,n<=4,sr<=40%,kvB<=16k,kp<=1k,0.0201,2
16,n<=4,sr<=40%,kvB<=16k,kp<=2k,0.0102,2
16,n<=4,sr<=40%,kvB<=16k,kp<=4k,0.003,2
16,n<=4,sr<=40%,kvB<=16k,kp<=512,-0.0012,2
16,n<=4,sr<=40%,kvB<=16k,kp<=8k,0.0024,2
16,n<=4,sr<=40%,kvB<=16k,kp=0,-0.0017,2
16,n<=4,sr<=40%,kvB<=1k,kp<=1k,0.0616,2
16,n<=4,sr<=40%,kvB<=1k,kp<=2k,0.0526,2
16,n<=4,sr<=40%,kvB<=1k,kp<=4k,-0.001,2
16,n<=4,sr<=40%,kvB<=1k,kp<=512,0.0679,2
16,n<=4,sr<=40%,kvB<=1k,kp<=8k,0.0605,2
16,n<=4,sr<=40%,kvB<=1k,kp=0,0.044,5
16,n<=4,sr<=40%,kvB<=4k,kp<=1k,0.0003,2
16,n<=4,sr<=40%,kvB<=4k,kp<=2k,0.0042,2
16,n<=4,sr<=40%,kvB<=4k,kp<=4k,0.0105,2
16,n<=4,sr<=40%,kvB<=4k,kp<=512,0.0015,2
16,n<=4,sr<=40%,kvB<=4k,kp<=8k,0.0057,2
16,n<=4,sr<=40%,kvB<=4k,kp=0,0.0235,3
16,n<=4,sr<=70%,kvB<=16k,kp<=1k,-0.0469,2
16,n<=4,sr<=70%,kvB<=16k,kp<=2k,-0.0546,2
16,n<=4,sr<=70%,kvB<=16k,kp<=4k,-0.057,2
16,n<=4,sr<=70%,kvB<=16k,kp<=512,-0.0372,2
16,n<=4,sr<=70%,kvB<=16k,kp<=8k,-0.0602,2
16,n<=4,sr<=70%,kvB<=16k,kp=0,-0.0402,2
16,n<=4,sr<=70%,kvB<=1k,kp<=1k,-0.1235,2
16,n<=4,sr<=70%,kvB<=1k,kp<=2k,-0.1019,2
16,n<=4,sr<=70%,kvB<=1k,kp<=4k,-0.0642,2
16,n<=4,sr<=70%,kvB<=1k,kp<=512,-0.1184,2
16,n<=4,sr<=70%,kvB<=1k,kp<=8k,-0.0003,2
16,n<=4,sr<=70%,kvB<=1k,kp=0,-0.0787,4
16,n<=4,sr<=70%,kvB<=4k,kp<=1k,-0.0349,2
