prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,16,4,128,28.9713
16,16,4,256,33.6853
16,16,4,512,41.7067
16,16,4,1024,57.088
16,16,4,2048,87.541
16,16,4,4096,145.088
16,16,4,8192,263.487
16,16,4,16384,491.253
16,16,8,16,17.728
16,16,8,32,20.4693
16,16,8,64,23.1893
16,16,8,128,34.891
16,16,8,256,42.592
16,16,8,512,57.3977
16,16,8,1024,87.1147
16,16,8,2048,146.143
16,16,8,4096,263.456
16,16,8,8192,491.413
16,16,8,16384,944.639
16,16,16,16,20.3943
16,16,16,32,25.131
16,16,16,64,29.0987
16,16,16,128,39.509
16,16,16,256,54.4637
16,16,16,512,84.7893
16,16,16,1024,141.419
16,16,16,2048,257.803
16,16,16,4096,489.493
16,16,16,8192,946.783
16,16,16,16384,1851.58
16,16,32,16,26.6667
16,16,32,32,36.2133
16,16,32,64,45.269
16,16,32,128,62.517
16,16,32,256,92.7997
16,16,32,512,152.48
16,16,32,1024,269.504
16,16,32,2048,498.432
16,16,32,4096,966.9
16,16,32,8192,1892.37
16,16,32,16384,3757.53
16,16,64,16,39.9257
16,16,64,32,56.501
16,16,64,64,74.6023
16,16,64,128,105.579
16,16,64,256,165.514
16,16,64,512,282.645
16,16,64,1024,516.97
16,16,64,2048,990.218
16,16,64,4096,1933.58
16,16,64,8192,3835.06
16,16,64,16384,7609.49
16,16,128,16,60.9167
16,16,128,32,89.675
16,16,128,64,120.17
16,16,128,128,181.984
16,16,128,256,297.93
16,16,128,512,526.325
16,16,128,1024,1002.39
16,16,128,2048,1927.91
16,16,128,4096,3801.46
16,16,128,8192,7517.13
16,16,128,16384,14998.8
16,32,0,0,12.5013
16,32,1,16,18.7517
16,32,1,32,20.6397
16,32,1,64,23.0617
16,32,1,128,29.1513
16,32,1,256,29.493
16,32,1,512,30.3143
16,32,1,1024,31.8927
16,32,1,2048,41.1093
16,32,1,4096,57.7917
16,32,1,8192,86.411
16,32,1,16384,143.445
16,32,2,16,18.6347
16,32,2,32,20.6293
16,32,2,64,23.019
16,32,2,128,29.813
16,32,2,256,30.4323
16,32,2,512,35.2
16,32,2,1024,41.4823
16,32,2,2048,58.283
16,32,2,4096,86.6137
16,32,2,8192,145.131
16,32,2,16384,253.877
16,32,4,16,18.9757
16,32,4,32,21.184
16,32,4,64,23.723
16,32,4,128,30.8897
16,32,4,256,35.7117
16,32,4,512,43.733
16,32,4,1024,58.1337
16,32,4,2048,88.928
16,32,4,4096,147.722
16,32,4,8192,265.802
16,32,4,16384,492.736
16,32,8,16,19.755
16,32,8,32,22.3677
16,32,8,64,25.0457
16,32,8,128,36.693
16,32,8,256,43.8187
16,32,8,512,59.434
16,32,8,1024,89.9297
16,32,8,2048,148.384
16,32,8,4096,265.237
16,32,8,8192,493.546
16,32,8,16384,949.864
16,32,16,16,22.2937
16,32,16,32,27.0823
16,32,16,64,31.008
16,32,16,128,40.726
16,32,16,256,55.488
16,32,16,512,85.7277
16,32,16,1024,145.066
16,32,16,2048,260.213
16,32,16,4096,492.138
16,32,16,8192,948.147
16,32,16,16384,1873.79
16,32,32,16,28.6293
16,32,32,32,38.2187
16,32,32,64,47.8933
16,32,32,128,64.3733
16,32,32,256,93.5783
16,32,32,512,153.163
16,32,32,1024,269.098
16,32,32,2048,501.887
16,32,32,4096,966.292
16,32,32,8192,1899.69
16,32,32,16384,3757.24
16,32,64,16,41.6953
16,32,64,32,59.0713
16,32,64,64,76.085
16,32,64,128,107.637
16,32,64,256,166.837
16,32,64,512,283.733
16,32,64,1024,520.234
16,32,64,2048,989.429
16,32,64,4096,1937.91
16,32,64,8192,3840.37
16,32,64,16384,7631.58
16,32,128,16,62.805
16,32,128,32,90.955
16,32,128,64,122.122
16,32,128,128,182.283
16,32,128,256,299.893
16,32,128,512,529.332
16,32,128,1024,1000.46
16,32,128,2048,1919.03
16,32,128,4096,3794.75
16,32,128,8192,7590.45
16,32,128,16384,14985.5
16,64,0,0,14.7627
16,64,1,16,21.056
16,64,1,32,23.008
16,64,1,64,25.3333
16,64,1,128,31.4457
16,64,1,256,31.9147
16,64,1,512,32.4157
16,64,1,1024,34.1223
16,64,1,2048,43.4237
16,64,1,4096,59.9573
16,64,1,8192,88.3093
16,64,1,16384,146.805
16,64,2,16,20.896
16,64,2,32,23.018
16,64,2,64,25.3227
16,64,2,128,31.9353
16,64,2,256,32.7787
16,64,2,512,38.0473
16,64,2,1024,43.7867
16,64,2,2048,60.448
16,64,2,4096,87.702
16,64,2,8192,145.557
16,64,2,16384,256.703
16,64,4,16,21.28
16,64,4,32,23.3813
16,64,4,64,25.9737
16,64,4,128,33.152
16,64,4,256,38.1227
16,64,4,512,45.8563
16,64,4,1024,60.7247
16,64,4,2048,91.4663
16,64,4,4096,151.68
16,64,4,8192,267.359
16,64,4,16384,494.9
16,64,8,16,21.9097
16,64,8,32,24.629
16,64,8,64,27.413
16,64,8,128,39.115
16,64,8,256,46.1337
16,64,8,512,61.8343
16,64,8,1024,91.103
16,64,8,2048,151.136
16,64,8,4096,267.018
16,64,8,8192,497.653
16,64,8,16384,951.23
16,64,16,16,24.7367
16,64,16,32,29.44
16,64,16,64,33.3657
16,64,16,128,43.0407
16,64,16,256,57.9737
16,64,16,512,88.2667
16,64,16,1024,146.751
16,64,16,2048,265.173
16,64,16,4096,499.007
16,64,16,8192,959.967
16,64,16,16384,1866.81
16,64,32,16,31.168
16,64,32,32,40.6087
16,64,32,64,49.8563
16,64,32,128,66.5067
16,64,32,256,95.861
16,64,32,512,156.352
16,64,32,1024,271.391
16,64,32,2048,507.38
16,64,32,4096,970.068
16,64,32,8192,1903.21
16,64,32,16384,3756.8
16,64,64,16,44.1807
16,64,64,32,60.992
16,64,64,64,78.645
16,64,64,128,110.389
16,64,64,256,168.235
16,64,64,512,285.088
16,64,64,1024,520.607
16,64,64,2048,994.889
16,64,64,4096,1945.22
16,64,64,8192,3822.73
16,64,64,16384,7625.38
16,64,128,16,65.291
16,64,128,32,93.536
16,64,128,64,124.789
16,64,128,128,185.323
16,64,128,256,302.815
16,64,128,512,530.975
16,64,128,1024,993.406
16,64,128,2048,1932.42
16,64,128,4096,3783.21
16,64,128,8192,7647.54
16,64,128,16384,14999.3
16,128,0,0,23.904
16,128,1,16,30.5923
16,128,1,32,32.6403
16,128,1,64,34.901
16,128,1,128,41.2377
16,128,1,256,41.6313
16,128,1,512,42.3993
16,128,1,1024,44.0427
16,128,1,2048,54.0263
16,128,1,4096,70.784
16,128,1,8192,98.41
16,128,1,16384,158.143
16,128,2,16,30.5173
16,128,2,32,32.64
16,128,2,64,34.912
16,128,2,128,41.4613
16,128,2,256,42.1973
16,128,2,512,47.4777
16,128,2,1024,53.1307
16,128,2,2048,69.855
16,128,2,4096,98.6343
16,128,2,8192,155.584
16,128,2,16384,267.882
16,128,4,16,30.7517
16,128,4,32,32.971
16,128,4,64,35.424
16,128,4,128,42.559
16,128,4,256,47.103
16,128,4,512,55.9043
16,128,4,1024,70.5813
16,128,4,2048,101.44
16,128,4,4096,159.36
16,128,4,8192,279.211
16,128,4,16384,503.935
16,128,8,16,31.2527
16,128,8,32,33.728
16,128,8,64,36.832
16,128,8,128,48.278
16,128,8,256,56.192
16,128,8,512,71.8817
16,128,8,1024,101.184
16,128,8,2048,161.45
16,128,8,4096,275.552
16,128,8,8192,509.556
16,128,8,16384,967.241
16,128,16,16,33.9207
16,128,16,32,38.9757
16,128,16,64,42.922
16,128,16,128,53.024
16,128,16,256,67.488
16,128,16,512,99.0933
16,128,16,1024,158.772
16,128,16,2048,273.418
16,128,16,4096,505.098
16,128,16,8192,964.435
16,128,16,16384,1879.02
16,128,32,16,40.4907
16,128,32,32,50.304
16,128,32,64,59.04
16,128,32,128,76.4903
16,128,32,256,105.994
16,128,32,512,166.56
16,128,32,1024,279.957
16,128,32,2048,513.225
16,128,32,4096,977.684
16,128,32,8192,1910.41
16,128,32,16384,3772.53
16,128,64,16,53.3547
16,128,64,32,70.954
16,128,64,64,87.5093
16,128,64,128,119.499
16,128,64,256,178.015
16,128,64,512,295.946
16,128,64,1024,531.465
16,128,64,2048,1008.04
16,128,64,4096,1943.6
16,128,64,8192,3832.75
16,128,64,16384,7637.12
16,128,128,16,74.773
16,128,128,32,103.423
16,128,128,64,134.88
16,128,128,128,195.136
16,128,128,256,312.085
16,128,128,512,541.855
16,128,128,1024,1011.55
16,128,128,2048,1948.81
16,128,128,4096,3832.05
16,128,128,8192,7575.29
16,128,128,16384,15028.6
16,256,0,0,24.224
16,256,1,16,31.1463
16,256,1,32,32.992
16,256,1,64,35.349
16,256,1,128,41.824
16,256,1,256,42.1013
16,256,1,512,43.0603
16,256,1,1024,44.7893
16,256,1,2048,54.6987
16,256,1,4096,72.4897
16,256,1,8192,99.648
16,256,1,16384,156.651
16,256,2,16,30.752
16,256,2,32,32.885
16,256,2,64,35.1677
16,256,2,128,41.962
16,256,2,256,42.8053
16,256,2,512,48.0637
16,256,2,1024,54.016
16,256,2,2048,71.765
16,256,2,4096,99.3483
16,256,2,8192,157.45
16,256,2,16384,269.589
16,256,4,16,31.21
16,256,4,32,33.429
16,256,4,64,36.0427
16,256,4,128,43.2107
16,256,4,256,47.711
16,256,4,512,56.5647
16,256,4,1024,71.5833
16,256,4,2048,103.349
16,256,4,4096,160.883
16,256,4,8192,276.319
16,256,4,16384,505.876
16,256,8,16,32.0413
16,256,8,32,34.816
16,256,8,64,37.43
16,256,8,128,49.643
16,256,8,256,57.4193
16,256,8,512,72.491
16,256,8,1024,102.518
16,256,8,2048,160.97
16,256,8,4096,280.639
16,256,8,8192,508.148
16,256,8,16384,967.24
16,256,16,16,34.528
16,256,16,32,39.2747
16,256,16,64,43.36
16,256,16,128,53.3757
16,256,16,256,68.48
16,256,16,512,99.1993
16,256,16,1024,157.002
16,256,16,2048,274.08
16,256,16,4096,505.482
16,256,16,8192,962.548
16,256,16,16384,1879.87
16,256,32,16,40.757
16,256,32,32,51.008
16,256,32,64,60.416
16,256,32,128,76.7037
16,256,32,256,107.178
16,256,32,512,165.504
16,256,32,1024,281.249
16,256,32,2048,513.333
16,256,32,4096,980.349
16,256,32,8192,1919.37
16,256,32,16384,3776.95
16,256,64,16,54.2827
16,256,64,32,72.15
16,256,64,64,88.8107
16,256,64,128,120.16
16,256,64,256,179.317
16,256,64,512,297.333
16,256,64,1024,532.788
16,256,64,2048,1006.24
16,256,64,4096,1946.05
16,256,64,8192,3837.79
16,256,64,16384,7596.04
16,256,128,16,75.5627
16,256,128,32,104.575
16,256,128,64,135.018
16,256,128,128,196.127
16,256,128,256,311.125
16,256,128,512,543.636
16,256,128,1024,1015.02
16,256,128,2048,1952.41
16,256,128,4096,3831.93
16,256,128,8192,7601.3
16,256,128,16384,15011.4
16,512,0,0,25.3327
16,512,1,16,32.1487
16,512,1,32,33.9627
16,512,1,64,36.362
16,512,1,128,42.8907
16,512,1,256,43.008
16,512,1,512,44.128
16,512,1,1024,46.0683
16,512,1,2048,56.0107
16,512,1,4096,72.266
16,512,1,8192,101.524
16,512,1,16384,158.495
16,512,2,16,31.712
16,512,2,32,33.76
16,512,2,64,36.1063
16,512,2,128,42.8377
16,512,2,256,43.7117
16,512,2,512,48.7147
16,512,2,1024,55.531
16,512,2,2048,73.003
16,512,2,4096,100.021
16,512,2,8192,158.762
16,512,2,16384,271.274
16,512,4,16,32.245
16,512,4,32,34.5173
16,512,4,64,37.2587
16,512,4,128,44.1923
16,512,4,256,49.5363
16,512,4,512,58.453
16,512,4,1024,72.9597
16,512,4,2048,105.184
16,512,4,4096,161.664
16,512,4,8192,278.624
16,512,4,16384,506.804
16,512,8,16,32.8633
16,512,8,32,35.584
16,512,8,64,38.1013
16,512,8,128,50.411
16,512,8,256,58.4853
16,512,8,512,74.4107
16,512,8,1024,104.01
16,512,8,2048,165.162
16,512,8,4096,279.06
16,512,8,8192,512.201
16,512,8,16384,964.712
16,512,16,16,35.5733
16,512,16,32,40.6293
16,512,16,64,45.461
16,512,16,128,56.0323
16,512,16,256,70.0797
16,512,16,512,101.045
16,512,16,1024,160.608
16,512,16,2048,275.946
16,512,16,4096,508.724
16,512,16,8192,967.923
16,512,16,16384,1879.48
16,512,32,16,42.1333
16,512,32,32,52.8423
16,512,32,64,61.9837
16,512,32,128,78.4747
16,512,32,256,107.903
16,512,32,512,168.106
16,512,32,1024,286.345
16,512,32,2048,519.753
16,512,32,4096,977.746
16,512,32,8192,1915.73
16,512,32,16384,3772.48
16,512,64,16,55.529
16,512,64,32,73.6857
16,512,64,64,90.4313
16,512,64,128,122.229
16,512,64,256,180.085
16,512,64,512,298.506
16,512,64,1024,533.929
16,512,64,2048,1005.93
16,512,64,4096,1958.44
16,512,64,8192,3863.87
16,512,64,16384,7621.92
16,512,128,16,76.512
16,512,128,32,106.208
16,512,128,64,136.725
16,512,128,128,196.661
16,512,128,256,313.482
16,512,128,512,544.425
16,512,128,1024,1010.08
16,512,128,2048,1951.47
16,512,128,4096,3816.78
16,512,128,8192,7575.67
16,512,128,16384,15009
16,1024,0,0,27.6903
16,1024,1,16,34.453
16,1024,1,32,36.2457
16,1024,1,64,38.827
16,1024,1,128,44.6187
16,1024,1,256,45.3963
16,1024,1,512,46.272
16,1024,1,1024,48.4057
16,1024,1,2048,58.5173
16,1024,1,4096,75.573
16,1024,1,8192,103.115
16,1024,1,16384,162.325
16,1024,2,16,34.2613
16,1024,2,32,36.3417
16,1024,2,64,39.0503
16,1024,2,128,45.3863
16,1024,2,256,46.3573
16,1024,2,512,50.9547
16,1024,2,1024,58.122
16,1024,2,2048,75.989
16,1024,2,4096,103.104
16,1024,2,8192,161.844
16,1024,2,16384,273.856
16,1024,4,16,34.464
16,1024,4,32,37.3013
16,1024,4,64,40.2247
16,1024,4,128,46.8903
16,1024,4,256,51.627
16,1024,4,512,60.512
16,1024,4,1024,76.5543
16,1024,4,2048,107.744
16,1024,4,4096,166.88
16,1024,4,8192,282.932
16,1024,4,16384,509.641
16,1024,8,16,35.2533
16,1024,8,32,38.2717
16,1024,8,64,41.472
16,1024,8,128,52.768
16,1024,8,256,60.949
16,1024,8,512,77.2047
16,1024,8,1024,106.923
16,1024,8,2048,166.774
16,1024,8,4096,282.271
16,1024,8,8192,512.948
16,1024,8,16384,968.851
16,1024,16,16,38.517
16,1024,16,32,43.4987
16,1024,16,64,47.669
16,1024,16,128,57.9293
16,1024,16,256,72.8747
16,1024,16,512,103.946
16,1024,16,1024,162.453
16,1024,16,2048,280.501
16,1024,16,4096,514.035
16,1024,16,8192,969.3
16,1024,16,16384,1894.53
16,1024,32,16,45.2693
16,1024,32,32,55.189
16,1024,32,64,64.234
16,1024,32,128,80.693
16,1024,32,256,108.906
16,1024,32,512,169.887
16,1024,32,1024,288.234
16,1024,32,2048,518.91
16,1024,32,4096,990.141
16,1024,32,8192,1916.75
16,1024,32,16384,3766.09
16,1024,64,16,57.589
16,1024,64,32,75.7113
16,1024,64,64,92.022
16,1024,64,128,123.264
16,1024,64,256,182.698
16,1024,64,512,301.343
16,1024,64,1024,532.916
16,1024,64,2048,1003.4
16,1024,64,4096,1953.15
16,1024,64,8192,3837.67
16,1024,64,16384,7647.04
16,1024,128,16,79.243
16,1024,128,32,109.429
16,1024,128,64,138.271
16,1024,128,128,199.69
16,1024,128,256,315.508
16,1024,128,512,545.481
16,1024,128,1024,1008.71
16,1024,128,2048,1952.57
16,1024,128,4096,3851.5
16,1024,128,8192,7581.49
16,1024,128,16384,15021.8
16,2048,0,0,37.7387
16,2048,1,16,44.565
16,2048,1,32,47.1463
16,2048,1,64,49.1517
16,2048,1,128,54.9963
16,2048,1,256,55.8073
16,2048,1,512,56.1173
16,2048,1,1024,58.581
16,2048,1,2048,68.831
16,2048,1,4096,87.796
16,2048,1,8192,116.416
16,2048,1,16384,172.693
16,2048,2,16,44.9063
16,2048,2,32,47.2307
16,2048,2,64,49.376
16,2048,2,128,55.3717
16,2048,2,256,56.256
16,2048,2,512,61.3333
16,2048,2,1024,68.4267
16,2048,2,2048,87.0827
16,2048,2,4096,115.733
16,2048,2,8192,174.676
16,2048,2,16384,288.042
16,2048,4,16,44.7147
16,2048,4,32,47.0393
16,2048,4,64,50.1223
16,2048,4,128,57.0773
16,2048,4,256,61.5463
16,2048,4,512,71.4563
16,2048,4,1024,88.362
16,2048,4,2048,119.616
16,2048,4,4096,177.696
16,2048,4,8192,292.17
16,2048,4,16384,522.462
16,2048,8,16,45.7703
16,2048,8,32,48.277
16,2048,8,64,51.1677
16,2048,8,128,63.9897
16,2048,8,256,71.776
16,2048,8,512,89.397
16,2048,8,1024,119.999
16,2048,8,2048,177.247
16,2048,8,4096,297.023
16,2048,8,8192,523.455
16,2048,8,16384,977.863
16,2048,16,16,48.4903
16,2048,16,32,53.3543
16,2048,16,64,58.048
16,2048,16,128,68.4157
16,2048,16,256,84.9917
16,2048,16,512,115.263
16,2048,16,1024,173.205
16,2048,16,2048,289.419
16,2048,16,4096,519.721
16,2048,16,8192,980.199
16,2048,16,16384,1896.06
16,2048,32,16,55.435
16,2048,32,32,66.1327
16,2048,32,64,75.36
16,2048,32,128,93.3327
16,2048,32,256,123.712
16,2048,32,512,182.25
16,2048,32,1024,299.87
16,2048,32,2048,532.33
16,2048,32,4096,996.381
16,2048,32,8192,1930.78
16,2048,32,16384,3790.99
16,2048,64,16,69.0987
16,2048,64,32,87.4987
16,2048,64,64,105.258
16,2048,64,128,137.237
16,2048,64,256,196.191
16,2048,64,512,312.842
16,2048,64,1024,549.151
16,2048,64,2048,1017.36
16,2048,64,4096,1971.62
16,2048,64,8192,3850.89
16,2048,64,16384,7659.16
16,2048,128,16,90.869
16,2048,128,32,119.819
16,2048,128,64,151.594
16,2048,128,128,211.327
16,2048,128,256,326.911
16,2048,128,512,557.386
16,2048,128,1024,1026.35
16,2048,128,2048,1954.01
16,2048,128,4096,3845.31
16,2048,128,8192,7553.99
16,2048,128,16384,15036.9
16,4096,0,0,55.3813
16,4096,1,16,62.048
16,4096,1,32,63.968
16,4096,1,64,66.2823
16,4096,1,128,71.9557
16,4096,1,256,72.832
16,4096,1,512,73.2257
16,4096,1,1024,75.7223
16,4096,1,2048,85.782
16,4096,1,4096,104.362
16,4096,1,8192,132.502
16,4096,1,16384,190.133
16,4096,2,16,61.653
16,4096,2,32,64.2237
16,4096,2,64,66.4847
16,4096,2,128,72.949
16,4096,2,256,73.4933
16,4096,2,512,78.5387
16,4096,2,1024,85.6423
16,4096,2,2048,104.939
16,4096,2,4096,133.119
16,4096,2,8192,191.103
16,4096,2,16384,301.13
16,4096,4,16,61.7917
16,4096,4,32,64.2343
16,4096,4,64,66.496
16,4096,4,128,74.3563
16,4096,4,256,78.9007
16,4096,4,512,88.597
16,4096,4,1024,105.568
16,4096,4,2048,136.234
16,4096,4,4096,195.839
16,4096,4,8192,312.201
16,4096,4,16384,537.492
16,4096,8,16,62.2607
16,4096,8,32,65.546
16,4096,8,64,68.491
16,4096,8,128,80.693
16,4096,8,256,89.568
16,4096,8,512,107.146
16,4096,8,1024,136.66
16,4096,8,2048,196
16,4096,8,4096,310.646
16,4096,8,8192,541.897
16,4096,8,16384,1002.98
16,4096,16,16,65.291
16,4096,16,32,70.315
16,4096,16,64,75.562
16,4096,16,128,86.0473
16,4096,16,256,101.589
16,4096,16,512,131.818
16,4096,16,1024,190.164
16,4096,16,2048,310.111
16,4096,16,4096,534.814
16,4096,16,8192,1002.31
16,4096,16,16384,1901.89
16,4096,32,16,72.97
16,4096,32,32,83.904
16,4096,32,64,94.08
16,4096,32,128,110.731
16,4096,32,256,140.415
16,4096,32,512,199.551
16,4096,32,1024,315.114
16,4096,32,2048,548.243
16,4096,32,4096,1012.99
16,4096,32,8192,1948.69
16,4096,32,16384,3793.64
16,4096,64,16,86.9547
