time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,n_embd,n_q_head,n_kv_head,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.04486500000000001,0.05139000000000001,0.04526953333333335,0.04503900000000001,0.0011450130343751076,,,,,,4096,32,8,4,131072,1,32,32,True,FLASH_ATTENTION
0.045181000000000006,0.046081000000000004,0.04549170000000001,0.045471,0.00016890414441333176,,,,,,4096,32,8,4,131072,1,32,64,True,FLASH_ATTENTION
0.045537,0.046334000000000014,0.045776266666666676,0.045743500000000006,0.00018973664789796366,,,,,,4096,32,8,4,131072,1,32,96,True,FLASH_ATTENTION
0.04591600000000001,0.04697500000000001,0.046243833333333345,0.04620950000000001,0.0001914974470383937,,,,,,4096,32,8,4,131072,1,32,128,True,FLASH_ATTENTION
0.047006000000000006,0.04745900000000001,0.0472444,0.0472635,0.00011289186566503823,,,,,,4096,32,8,4,131072,1,32,160,True,FLASH_ATTENTION
0.047683,0.048222,0.04788743333333333,0.04790200000000001,0.00011611766541841209,,,,,,4096,32,8,4,131072,1,32,192,True,FLASH_ATTENTION
0.04809400000000001,0.04870400000000001,0.04836193333333334,0.04831900000000001,0.00017689977074289477,,,,,,4096,32,8,4,131072,1,32,224,True,FLASH_ATTENTION
0.048799999999999996,0.04963000000000001,0.04904683333333334,0.049038,0.00016279293255202742,,,,,,4096,32,8,4,131072,1,32,256,True,FLASH_ATTENTION
0.048959000000000016,0.051197,0.04938200000000001,0.049248,0.0004135599110165299,,,,,,4096,32,8,4,131072,1,32,288,True,FLASH_ATTENTION
0.05209300000000001,0.055934000000000005,0.05245586666666667,0.05228950000000001,0.0006636121223191215,,,,,,4096,32,8,4,131072,1,32,320,True,FLASH_ATTENTION
0.05254100000000001,0.05782299999999999,0.05305203333333333,0.05283200000000001,0.0009065358416644196,,,,,,4096,32,8,4,131072,1,32,352,True,FLASH_ATTENTION
0.053597000000000006,0.058877000000000006,0.05405813333333334,0.05383950000000001,0.0009279347582430321,,,,,,4096,32,8,4,131072,1,32,384,True,FLASH_ATTENTION
0.054144000000000005,0.059871,0.05458586666666668,0.0543985,0.0009908132260365154,,,,,,4096,32,8,4,131072,1,32,416,True,FLASH_ATTENTION
0.054555000000000006,0.06035,0.05519256666666668,0.055007999999999994,0.0009800139687213077,,,,,,4096,32,8,4,131072,1,32,448,True,FLASH_ATTENTION
0.055263000000000014,0.061980999999999994,0.05575656666666667,0.05550150000000001,0.0011839385593104986,,,,,,4096,32,8,4,131072,1,32,480,True,FLASH_ATTENTION
0.053855000000000014,0.060129,0.0543623,0.05413,0.001087637597425416,,,,,,4096,32,8,4,131072,1,32,512,True,FLASH_ATTENTION
0.05436900000000001,0.06038300000000002,0.05494050000000001,0.05468700000000001,0.0010482946707232042,,,,,,4096,32,8,4,131072,1,32,544,True,FLASH_ATTENTION
