instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
1,9,meta-llama/Llama-3.1-8B,209,361,8464985000,10150646186,1685661186,38584,52522302,10815489,"[14598340, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 8349803, 8349803, 8349803, 8349803, 8349803, 8349803, 8349803, 8349803, 8349803, 8349803, 8349803, 8349803, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 10122051, 10122051, 10122051]"
1,11,meta-llama/Llama-3.1-8B,394,453,9427468000,10150646186,723178186,11908,71126433,11242271,"[17793769, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 10122051, 10122051, 10122051]"
1,13,meta-llama/Llama-3.1-8B,389,479,10546126000,11395927555,849801555,13938,70371691,8757638,"[8808704, 8425675, 8425675, 8425675, 8425675, 8425675, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8422571, 8422571, 8422571, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939]"
0,12,meta-llama/Llama-3.1-8B,1315,1489,9582558000,11455022896,1872464896,21453,137856607,10026637,"[19229106, 11847608, 11847608, 11847608, 11847608, 11847608, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 10122051, 10122051, 10122051, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 8425675, 8425675, 8425675, 8425675, 8425675, 8425675, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8456907, 8422571, 8422571, 8422571, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 8456907, 8456907, 8456907, 8456907, 8422571, 8422571, 8422571]"
1,15,meta-llama/Llama-3.1-8B,120,132,11430904000,11569774069,138870069,46618,42343460,8775146,"[12866659, 8365995, 8365995, 8365995, 8365995, 8365995, 8365995, 8365995, 8365995, 8365995, 8365995]"
0,14,meta-llama/Llama-3.1-8B,415,521,11157911000,12238246358,1080335358,24120,71692043,9606126,"[14465427, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 10123939, 8456907, 8456907, 8456907, 8456907, 8422571, 8422571, 8422571, 11362614, 11362614, 8365995, 8365995, 8365995, 8365995, 8365995, 8365995, 8365995, 8365995, 8365995, 8365995, 8365995, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8390251, 8390251, 8390251, 8390251, 8390251, 8390251, 8390251, 8390251, 8390251, 8390251, 8390251, 8390251, 8390251, 8390251, 8390251, 8390251]"
0,16,meta-llama/Llama-3.1-8B,369,443,11836633000,12624575234,787942234,41627,64084452,9915860,"[18502248, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8399211, 8390251, 8390251, 8390251, 8390251, 8390251, 8390251, 8390251, 8390251, 8390251, 8390251, 8390251, 8390251, 8390251, 8390251, 8390251, 8390251, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614]"
1,17,meta-llama/Llama-3.1-8B,206,368,12886545000,14717898514,1831353514,30234,52396681,11049421,"[12316118, 11316118, 11316118, 11316118, 11316118, 11316118, 11316118, 11316118, 11316118, 11316118, 11316118, 11316118, 11316118, 11316118, 11316118, 8363243, 8363243, 8363243, 8363243, 8363243, 8363243, 8363243, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 11813496, 11813496, 11813496, 11813496, 11813496, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423]"
0,18,meta-llama/Llama-3.1-8B,1353,1495,13025088000,14741593730,1716505730,21186,137690401,11197271,"[15486570, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 11813496, 11813496, 11813496, 11813496, 11813496, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 11847608, 11847608]"
1,19,meta-llama/Llama-3.1-8B,197,349,13049843000,14771602379,1721759379,30597,51843390,11059046,"[16360304, 8363243, 8363243, 8363243, 8363243, 8363243, 8363243, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10038819, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 11813496, 11813496, 11813496, 11813496, 11813496, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 13585423, 11847608, 11847608, 10002883, 10002883, 10002883]"
